NAME Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP 
Z18270237 -25.46897 46 4 -1.347627 -8.077893 -29.945948 7.095581 8.885172 6.416338 -92.450359 1 4.471911 
Z453634924 -25.33729 46 4 -3.934642 -5.132195 -30.295893 6.800196 15.328081 6.751146 -75.850103 1 2.036499 
Z928596916 -25.286864 46 5 -3.191716 -7.452605 -31.28816 3.888427 12.985345 9.591779 -110.93674 1 4.259853 
Z56792395 -25.247504 46 3 -4.687304 -6.408296 -30.269798 6.301438 12.146627 15.55267 -98.646744 1 3.442603 
Z1601883683 -25.229653 46 7 -4.203121 -7.160828 -29.369827 4.691078 11.901551 9.766154 -65.988655 1 1.289045 
Z976533244 -25.143477 46 4 -3.267994 -6.994907 -26.363267 8.554357 11.059197 5.272736 -106.174112 1 2.839464 
Z991913770 -36.017071 47 7 -4.783388 -8.146543 -32.58374 7.641601 10.941279 2.607371 -98.335919 1 4.095675 
Z18416931 -33.074258 47 2 -6.016527 -7.272922 -30.694768 9.001014 13.529282 9.648818 -78.124102 1 2.015093 
Z18319473 -32.389732 47 5 -2.397707 -8.109028 -32.552648 8.549368 9.209712 2.658909 -106.751979 1 3.674731 
Z28129268 -31.626454 47 5 -5.754989 -6.634783 -31.1404 9.748017 13.617152 8.040164 -93.201659 1 3.674637 
Z846964938 -31.247953 47 5 -5.878029 -7.279255 -29.891271 8.612637 15.150031 6.105012 -92.199765 1 1.906227 
Z915955450 -29.333957 47 4 -4.316481 -6.999466 -29.931408 7.667527 12.100182 7.170689 -104.512259 1 3.541866 
Z241938168 -28.526276 47 3 -5.781718 -5.929846 -28.05307 5.312389 12.980894 9.987677 -100.309149 1 3.037677 
Z422706136 -27.61427 47 5 -3.056923 -7.082447 -29.039368 7.256891 11.419903 3.544586 -94.71272 1 4.284928 
Z220402848 -27.4855 47 5 -5.453429 -7.196211 -28.811488 7.534779 12.03747 11.99473 -77.990732 1 1.797567 
Z1139320675 -27.297343 47 5 -2.939019 -6.847556 -28.035474 7.101023 8.694826 4.909988 -103.123138 1 2.600243 
Z279710346 -26.917979 47 2 -2.660091 -6.885085 -31.808109 8.182482 12.994297 8.011278 -110.58715 1 3.727667 
Z428822992 -26.833331 47 4 -2.346345 -7.601422 -31.277819 6.819856 9.890093 8.569884 -111.470899 1 2.400221 
Z49529380 -26.65922 47 5 -1.48074 -7.405595 -31.220507 6.474477 8.598818 5.788173 -87.04789 1 4.498126 
Z31170913 -26.614281 47 2 -3.369278 -6.781848 -28.164004 9.41492 12.459308 6.17175 -71.08 1 3.606088 
Z1082339760 -26.595318 47 5 -2.886219 -7.188697 -31.069788 5.457975 11.264569 7.794856 -99.888583 1 3.539325 
Z27465044 -26.15398 47 4 -5.103947 -6.338032 -30.221511 9.054139 13.871791 12.762356 -94.884398 1 3.447818 
Z24701423 -26.08678 47 4 -4.920498 -5.38148 -28.524502 9.241383 15.097759 7.225538 -75.518633 1 2.003969 
Z68331593 -26.044684 47 5 -3.178799 -7.81696 -28.373552 5.738305 11.319894 6.240415 -89.5384 1 3.67937 
Z1268664088 -25.852823 47 4 -3.694604 -7.092388 -27.450362 8.148383 9.658034 9.171607 -97.363532 1 2.07305 
Z1139321949 -25.751605 47 3 -3.238065 -7.486062 -24.550875 8.217515 9.421237 4.759558 -92.792215 1 2.508507 
Z1284832678 -25.73529 47 5 -5.067955 -5.708377 -28.122983 5.971987 12.476641 10.116292 -87.995357 1 0.623435 
Z960117062 -25.641418 47 4 -3.102313 -7.492673 -27.585105 4.182006 10.988935 6.319587 -89.66616 1 2.501107 
Z1139413310 -25.574262 47 7 -2.72771 -8.220312 -28.388486 9.451458 9.220305 6.223803 -74.323754 1 2.1372 
Z119834480 -25.534979 47 6 -2.982801 -7.046067 -28.057506 9.696675 10.424648 5.108173 -85.226323 1 4.659746 
Z1462392069 -25.528026 47 5 -5.339608 -7.469873 -27.210679 7.265064 13.985017 10.163505 -79.680283 1 1.979615 
Z25333610 -25.321526 47 2 -3.119864 -7.34891 -26.235012 9.265205 12.960313 4.257995 -100.847329 1 4.316423 
Z1028222624 -25.307115 47 6 -3.249805 -6.722502 -31.390819 5.546575 13.27547 7.959369 -123.472488 1 1.511448 
Z55955971 -25.290338 47 7 -4.348657 -7.657551 -29.558432 6.323904 10.229151 12.922562 -79.412537 1 -0.231698 
Z27433992 -25.051245 47 4 -3.455167 -6.384995 -30.311843 8.547545 10.699439 11.902328 -70.40176 1 0.808734 
Z13989704 -38.283952 48 6 -7.709708 -6.773289 -33.418237 6.189217 16.321774 5.055483 -86.328928 1 1.701252 
Z1286138055 -30.609729 48 8 -5.667242 -7.057788 -30.368288 6.28538 15.0718 4.123559 -92.979285 1 1.765797 
Z1486156824 -30.597595 48 4 -5.655788 -6.940667 -25.748923 3.332036 11.544626 4.624622 -102.191532 1 1.949648 
Z82191845 -29.126756 48 4 -2.957144 -6.016069 -30.867385 7.168573 11.036187 3.902774 -95.172585 1 4.213983 
